order_id,customer_id,product_id,category,price,discount_pct,order_date,delivery_days,payment_method,is_returned,return_reason
O10000,C2383,P1213,Home Goods,9389.19,15,2025-10-19,5,COD,0,
O10001,C2109,P1220,Home Goods,9608.99,0,2025-08-19,4,wallet,0,
O10002,C2209,P1132,Apparel,3940.27,0,2025-01-10,3,card,0,
O10003,C2114,P1065,Electronics,31126.63,10,2025-11-09,4,wallet,0,
O10004,C2140,P1109,Footwear,2229.49,25,2025-12-24,3,card,0,
O10005,C2319,P1102,Footwear,2653.15,10,2025-01-08,4,UPI,0,
O10006,C2431,P1215,Home Goods,10768.42,5,2025-10-17,4,card,0,
O10007,C2327,P1084,Footwear,2755.01,20,2025-09-25,5,wallet,0,
O10008,C2333,P1077,Footwear,1351.68,0,2026-06-14,4,COD,0,
O10009,C2307,P1104,Footwear,2876.0,15,2025-05-24,1,wallet,0,
O10010,C2151,P1067,Electronics,32475.14,25,2026-02-19,4,wallet,0,
O10011,C2097,P1088,Footwear,4084.74,15,2025-08-16,4,wallet,0,
O10012,C2243,P1172,Home Goods,10862.41,5,2025-11-04,6,COD,0,
O10013,C2049,P1121,Apparel,2582.11,0,2025-09-22,1,wallet,0,
O10014,C2093,P1175,Home Goods,5208.13,25,2025-04-02,4,COD,0,
O10015,C2169,P1096,Footwear,3196.66,0,2025-10-29,6,UPI,1,Wrong size received
O10016,C2443,P1163,Apparel,2431.03,10,2025-03-14,3,card,0,
O10017,C2271,P1077,Footwear,1284.1,5,2025-06-04,4,card,0,
O10018,C2209,P1146,Apparel,2932.85,25,2026-04-14,7,card,1,Color faded after first wash
O10019,C2323,P1046,Electronics,37958.63,0,2025-03-01,7,card,0,
O10020,C2389,P1199,Home Goods,5283.12,0,2025-06-12,1,card,0,
O10021,C2324,P1110,Footwear,1107.93,5,2026-05-04,4,UPI,1,Uncomfortable fit
O10022,C2374,P1096,Footwear,2237.66,30,2025-11-26,4,card,1,Uncomfortable fit
O10023,C2115,P1178,Home Goods,6239.29,25,2025-11-16,1,card,0,
O10024,C2301,P1079,Footwear,5367.11,0,2025-02-16,3,wallet,0,
O10025,C2172,P1112,Footwear,1333.17,25,2025-05-18,6,card,0,
O10026,C2183,P1193,Home Goods,5662.21,0,2026-02-18,6,netbanking,0,
O10027,C2011,P1151,Apparel,1481.44,10,2025-05-07,4,UPI,0,
O10028,C2019,P1097,Footwear,4451.25,25,2025-09-19,4,UPI,1,Wrong size received
O10029,C2334,P1215,Home Goods,11335.18,0,2025-04-29,1,UPI,0,
O10030,C2280,P1065,Electronics,32855.88,5,2025-06-06,5,card,0,
O10031,C2051,P1170,Home Goods,7796.13,10,2025-05-21,7,UPI,0,
O10032,C2261,P1185,Home Goods,6483.49,10,2025-10-17,5,card,0,
O10033,C2134,P1213,Home Goods,9941.5,10,2025-07-26,5,UPI,0,
O10034,C2082,P1011,Electronics,3323.67,10,2025-08-01,3,card,1,Item stopped working after a few days
O10035,C2056,P1214,Home Goods,3412.36,10,2026-05-21,2,card,0,
O10036,C2261,P1020,Electronics,8771.54,15,2025-04-14,7,UPI,0,
O10037,C2135,P1119,Apparel,607.4,0,2025-06-28,2,COD,0,
O10038,C2184,P1206,Home Goods,3795.28,15,2026-03-13,4,COD,1,Missing parts/accessories
O10039,C2339,P1166,Home Goods,7901.54,0,2026-01-02,3,COD,0,
O10040,C2137,P1188,Home Goods,2585.02,0,2025-12-17,5,netbanking,0,
O10041,C2197,P1177,Home Goods,405.96,20,2026-03-08,6,UPI,0,
O10042,C2057,P1034,Electronics,19436.92,15,2025-03-02,8,card,0,
O10043,C2247,P1206,Home Goods,4018.54,10,2026-03-25,4,card,0,
O10044,C2183,P1157,Apparel,2336.07,0,2025-05-14,1,COD,0,
O10045,C2032,P1067,Electronics,36805.16,15,2025-01-13,4,wallet,0,
O10046,C2392,P1191,Home Goods,7454.67,10,2025-08-18,7,card,0,
O10047,C2358,P1159,Apparel,3595.81,0,2025-09-12,4,UPI,0,
O10048,C2328,P1099,Footwear,1879.08,0,2025-02-25,9,UPI,0,
O10049,C2253,P1043,Electronics,16336.83,0,2026-05-19,4,card,0,
O10050,C2142,P1013,Electronics,2922.79,10,2026-01-23,3,UPI,0,
O10051,C2229,P1023,Electronics,31883.75,20,2026-04-03,5,card,0,
O10052,C2381,P1168,Home Goods,3481.16,0,2026-02-18,2,card,0,
O10053,C2309,P1159,Apparel,3236.23,10,2026-06-05,5,UPI,0,
O10054,C2233,P1088,Footwear,4565.3,5,2025-02-25,6,card,0,
O10055,C2307,P1122,Apparel,413.19,15,2026-01-08,1,wallet,1,Fabric quality not as described
O10056,C2001,P1088,Footwear,4565.3,5,2025-10-26,2,card,0,
O10057,C2252,P1036,Electronics,9761.34,20,2026-02-24,3,card,0,
O10058,C2096,P1031,Electronics,28755.55,25,2026-02-07,5,card,0,
O10059,C2387,P1107,Footwear,3960.8,0,2025-05-07,8,COD,0,
O10060,C2337,P1151,Apparel,1152.23,30,2025-05-18,4,wallet,0,
O10061,C2221,P1215,Home Goods,10201.66,10,2026-06-05,4,COD,0,
O10062,C2354,P1149,Apparel,4055.71,0,2025-05-12,7,UPI,0,
O10063,C2196,P1108,Footwear,4756.25,30,2025-09-12,6,card,0,
O10064,C2150,P1116,Footwear,1013.05,20,2025-05-22,1,wallet,0,
O10065,C2359,P1141,Apparel,1205.96,20,2025-08-11,6,card,0,
O10066,C2148,P1176,Home Goods,6682.94,0,2025-05-16,7,netbanking,0,
O10067,C2355,P1164,Home Goods,1719.29,0,2025-04-29,4,COD,0,
O10068,C2298,P1147,Apparel,1722.0,25,2026-03-04,2,UPI,0,
O10069,C2216,P1207,Home Goods,11133.46,0,2025-04-20,1,card,0,
O10070,C2343,P1015,Electronics,896.42,0,2025-06-14,7,card,1,Battery drains too quickly
O10071,C2104,P1193,Home Goods,5095.99,10,2026-01-03,4,COD,1,Changed my mind after purchase
O10072,C2442,P1058,Electronics,37747.7,15,2026-02-03,4,COD,0,
O10073,C2340,P1013,Electronics,2435.65,25,2026-02-01,8,UPI,0,
O10074,C2350,P1081,Footwear,2385.22,30,2025-02-25,6,UPI,0,
O10075,C2445,P1114,Footwear,2134.62,20,2026-01-12,4,COD,0,
O10076,C2308,P1051,Electronics,35019.63,20,2025-07-18,4,wallet,1,Received a different model than ordered
O10077,C2376,P1132,Apparel,3940.27,0,2025-02-11,5,UPI,0,
O10078,C2066,P1042,Electronics,23303.66,10,2025-09-19,6,COD,1,Battery drains too quickly
O10079,C2305,P1014,Electronics,16662.81,20,2025-11-05,4,UPI,0,
O10080,C2183,P1019,Electronics,30787.42,20,2025-11-22,1,UPI,0,
O10081,C2081,P1107,Footwear,3564.72,10,2026-02-18,3,card,0,
O10082,C2109,P1170,Home Goods,8662.37,0,2026-01-05,3,UPI,0,
O10083,C2287,P1211,Home Goods,9877.78,15,2025-01-10,9,card,0,
O10084,C2123,P1165,Home Goods,2411.7,10,2025-09-07,7,card,0,
O10085,C2058,P1099,Footwear,1879.08,0,2025-10-17,3,card,0,
O10086,C2394,P1096,Footwear,2876.99,10,2026-06-05,3,COD,0,
O10087,C2263,P1022,Electronics,23721.31,25,2025-06-21,4,netbanking,0,
O10088,C2273,P1002,Electronics,9686.63,10,2025-08-04,2,COD,0,
O10089,C2053,P1053,Electronics,34277.14,10,2026-03-22,1,UPI,0,
O10090,C2382,P1176,Home Goods,6682.94,0,2026-04-16,4,card,0,
O10091,C2128,P1143,Apparel,1373.32,0,2025-08-22,3,COD,0,
O10092,C2230,P1162,Apparel,2840.32,5,2025-11-20,7,UPI,0,
O10093,C2316,P1017,Electronics,22921.22,15,2025-02-16,4,wallet,1,Did not match product description
O10094,C2054,P1075,Footwear,2568.8,20,2025-11-05,3,COD,0,
O10095,C2420,P1170,Home Goods,8662.37,0,2025-06-10,3,UPI,0,
O10096,C2200,P1204,Home Goods,2725.43,20,2025-10-30,5,wallet,0,
O10097,C2407,P1222,Home Goods,4641.66,15,2026-01-18,4,netbanking,1,Changed my mind after purchase
O10098,C2072,P1032,Electronics,15979.31,0,2026-02-08,1,card,0,
O10099,C2371,P1089,Footwear,3992.31,0,2026-06-09,3,card,0,
O10100,C2315,P1214,Home Goods,3791.51,0,2025-04-28,6,COD,0,
O10101,C2281,P1119,Apparel,546.66,10,2025-03-16,8,card,1,Wrong size ordered
O10102,C2101,P1186,Home Goods,7942.49,10,2025-12-05,2,card,0,
O10103,C2035,P1050,Electronics,6419.79,0,2026-04-07,7,card,0,
O10104,C2355,P1150,Apparel,3328.04,0,2026-01-09,6,card,0,
O10105,C2402,P1057,Electronics,18173.49,15,2026-03-23,1,card,0,
O10106,C2347,P1188,Home Goods,2585.02,0,2026-05-07,2,card,0,
O10107,C2089,P1166,Home Goods,7111.39,10,2025-10-15,4,COD,0,
O10108,C2275,P1051,Electronics,43774.54,0,2025-03-20,3,COD,0,
O10109,C2416,P1149,Apparel,3650.14,10,2025-08-06,1,COD,0,
O10110,C2278,P1139,Apparel,1328.52,5,2025-06-02,3,COD,0,
O10111,C2148,P1035,Electronics,29228.26,5,2026-06-07,5,card,0,
O10112,C2005,P1170,Home Goods,8662.37,0,2025-06-19,4,card,0,
O10113,C2289,P1169,Home Goods,1938.62,25,2025-05-30,3,wallet,0,
O10114,C2183,P1011,Electronics,3692.97,0,2026-05-15,4,card,0,
O10115,C2265,P1203,Home Goods,11579.63,5,2026-04-26,6,COD,0,
O10116,C2020,P1167,Home Goods,12572.95,0,2026-06-18,3,wallet,0,
O10117,C2291,P1045,Electronics,24520.29,5,2026-01-23,3,UPI,0,
O10118,C2427,P1020,Electronics,9287.51,10,2026-01-21,6,UPI,0,
O10119,C2176,P1125,Apparel,474.01,20,2025-01-07,4,UPI,1,Fabric quality not as described
O10120,C2117,P1020,Electronics,9287.51,10,2025-10-15,4,UPI,0,
O10121,C2060,P1170,Home Goods,8662.37,0,2025-12-05,5,wallet,0,
O10122,C2245,P1123,Apparel,1842.26,0,2025-06-15,3,card,1,Changed my mind after purchase
O10123,C2082,P1035,Electronics,27689.93,10,2025-02-10,2,COD,1,Received a different model than ordered
O10124,C2132,P1047,Electronics,32274.31,10,2026-02-20,2,card,0,
O10125,C2338,P1211,Home Goods,11620.92,0,2025-03-29,2,card,0,
O10126,C2241,P1124,Apparel,3641.54,0,2026-02-25,1,COD,0,
O10127,C2337,P1131,Apparel,2453.98,0,2025-12-17,2,COD,0,
O10128,C2035,P1059,Electronics,15296.87,5,2025-05-16,5,COD,0,
O10129,C2214,P1212,Home Goods,2418.87,0,2025-04-09,5,card,0,
O10130,C2307,P1010,Electronics,4951.72,25,2026-06-29,3,UPI,1,Did not match product description
