product_id,sku,product_name,description,category,sub_category,brand,price,stock_status,avg_rating
P1001,SKU-ELE-1001,Voltix Signature Headphone,"The Voltix Signature Headphone delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features long battery life and is built for travel.",Electronics,Headphones,Voltix,13230.33,In Stock,4.0
P1002,SKU-ELE-1002,Pulseon Premium Headphone,"The Pulseon Premium Headphone delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features noise isolation and is built for travel.",Electronics,Headphones,Pulseon,10762.92,In Stock,3.0
P1003,SKU-ELE-1003,Nexbyte Active Headphone,"The Nexbyte Active Headphone delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features lightweight design and is built for outdoor use.",Electronics,Headphones,Nexbyte,12755.34,In Stock,4.4
P1004,SKU-ELE-1004,Voltix Max Headphone,"The Voltix Max Headphone delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features noise isolation and is built for daily commutes.",Electronics,Headphones,Voltix,39964.06,In Stock,3.9
P1005,SKU-ELE-1005,Aurea Lite Headphone,"The Aurea Lite Headphone delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features quick pairing and is built for home use.",Electronics,Headphones,Aurea,21693.16,In Stock,4.8
P1006,SKU-ELE-1006,Nexbyte Max Headphone,"The Nexbyte Max Headphone delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features lightweight design and is built for home use.",Electronics,Headphones,Nexbyte,30424.83,Out of Stock,3.1
P1007,SKU-ELE-1007,Voltix Everyday Smartwatche,"The Voltix Everyday Smartwatche delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features long battery life and is built for daily commutes.",Electronics,Smartwatches,Voltix,39720.85,Out of Stock,4.4
P1008,SKU-ELE-1008,Nexbyte Pro Smartwatche,"The Nexbyte Pro Smartwatche delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features lightweight design and is built for travel.",Electronics,Smartwatches,Nexbyte,14065.21,In Stock,3.9
P1009,SKU-ELE-1009,Pulseon Everyday Smartwatche,"The Pulseon Everyday Smartwatche delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features fast charging and is built for travel.",Electronics,Smartwatches,Pulseon,27871.3,In Stock,2.9
P1010,SKU-ELE-1010,Pulseon Lite Smartwatche,"The Pulseon Lite Smartwatche delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features quick pairing and is built for home use.",Electronics,Smartwatches,Pulseon,6602.29,Out of Stock,3.7
P1011,SKU-ELE-1011,Aurea Max Smartwatche,"The Aurea Max Smartwatche delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features quick pairing and is built for outdoor use.",Electronics,Smartwatches,Aurea,3692.97,In Stock,2.9
P1012,SKU-ELE-1012,Aurea Essential Smartwatche,"The Aurea Essential Smartwatche delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features quick pairing and is built for home use.",Electronics,Smartwatches,Aurea,31036.8,In Stock,3.7
P1013,SKU-ELE-1013,Kinetix Signature Smartwatche,"The Kinetix Signature Smartwatche delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features fast charging and is built for travel.",Electronics,Smartwatches,Kinetix,3247.54,In Stock,3.4
P1014,SKU-ELE-1014,Aurea Pro Smartwatche,"The Aurea Pro Smartwatche delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features fast charging and is built for travel.",Electronics,Smartwatches,Aurea,20828.51,In Stock,4.7
P1015,SKU-ELE-1015,Aurea Premium Smartwatche,"The Aurea Premium Smartwatche delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features noise isolation and is built for daily commutes.",Electronics,Smartwatches,Aurea,896.42,Out of Stock,4.0
P1016,SKU-ELE-1016,Nexbyte Everyday Bluetooth Speaker,"The Nexbyte Everyday Bluetooth Speaker delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features quick pairing and is built for outdoor use.",Electronics,Bluetooth Speakers,Nexbyte,3065.43,In Stock,3.6
P1017,SKU-ELE-1017,Pulseon Max Bluetooth Speaker,"The Pulseon Max Bluetooth Speaker delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features quick pairing and is built for travel.",Electronics,Bluetooth Speakers,Pulseon,26966.14,In Stock,4.2
P1018,SKU-ELE-1018,Kinetix Compact Bluetooth Speaker,"The Kinetix Compact Bluetooth Speaker delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features fast charging and is built for daily commutes.",Electronics,Bluetooth Speakers,Kinetix,42790.63,In Stock,3.6
P1019,SKU-ELE-1019,Aurea Classic Bluetooth Speaker,"The Aurea Classic Bluetooth Speaker delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features noise isolation and is built for outdoor use.",Electronics,Bluetooth Speakers,Aurea,38484.27,In Stock,3.1
P1020,SKU-ELE-1020,Nexbyte Active Bluetooth Speaker,"The Nexbyte Active Bluetooth Speaker delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features long battery life and is built for work-from-home setups.",Electronics,Bluetooth Speakers,Nexbyte,10319.46,In Stock,3.1
P1021,SKU-ELE-1021,Nexbyte Lite Bluetooth Speaker,"The Nexbyte Lite Bluetooth Speaker delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features lightweight design and is built for outdoor use.",Electronics,Bluetooth Speakers,Nexbyte,34302.64,In Stock,3.4
P1022,SKU-ELE-1022,Nexbyte Max Power Bank,"The Nexbyte Max Power Bank delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features fast charging and is built for work-from-home setups.",Electronics,Power Banks,Nexbyte,31628.41,In Stock,3.5
