review_id,product_id,customer_id,review_text,star_rating,review_date
R5000,P1084,C2402,Good enough for occasional use.,3,2026-06-30
R5001,P1146,C2063,Solid build quality and looks even better in person.,5,2026-01-23
R5002,P1047,C2043,Doesn't match the photos on the website at all.,1,2026-03-07
R5003,P1104,C2094,"Not bad, but I expected slightly better finishing.",3,2025-01-30
R5004,P1137,C2326,"Great quality for the price, would buy again.",4,2026-04-11
R5005,P1108,C2166,Perfect fit and the material feels premium.,5,2025-12-24
R5006,P1173,C2445,Solid build quality and looks even better in person.,4,2025-01-28
R5007,P1132,C2351,"Exceeded my expectations, arrived quickly too.",4,2025-05-19
R5008,P1050,C2356,"It's decent, does the job but nothing special.",3,2026-02-28
R5009,P1082,C2156,Been using it for a few weeks now and no complaints at all.,4,2026-05-15
R5010,P1150,C2355,"Exceeded my expectations, arrived quickly too.",4,2026-01-29
R5011,P1123,C2179,Been using it for a few weeks now and no complaints at all.,5,2025-07-10
R5012,P1065,C2372,"It's decent, does the job but nothing special.",3,2025-02-14
R5013,P1074,C2091,Perfect fit and the material feels premium.,4,2025-03-28
R5014,P1176,C2158,Perfect fit and the material feels premium.,5,2026-01-24
R5015,P1221,C2403,Packaging was poor and the item arrived slightly damaged.,2,2026-05-08
R5016,P1004,C2142,"Exceeded my expectations, arrived quickly too.",4,2025-09-27
R5017,P1137,C2326,"Great quality for the price, would buy again.",5,2026-04-17
R5018,P1116,C2032,Been using it for a few weeks now and no complaints at all.,4,2025-02-23
R5019,P1162,C2040,Perfect fit and the material feels premium.,5,2025-12-26
R5020,P1190,C2411,"It's decent, does the job but nothing special.",3,2025-05-11
R5021,P1051,C2275,"Really happy with this purchase, works exactly as described.",4,2025-04-02
R5022,P1044,C2200,"Great quality for the price, would buy again.",4,2025-01-21
R5023,P1213,C2125,"Exceeded my expectations, arrived quickly too.",5,2026-04-22
R5024,P1088,C2164,Sizing was off compared to the size chart.,2,2025-12-21
R5025,P1184,C2247,"Exceeded my expectations, arrived quickly too.",5,2026-05-13
R5026,P1113,C2412,"Great quality for the price, would buy again.",5,2025-01-29
R5027,P1098,C2207,Been using it for a few weeks now and no complaints at all.,4,2025-08-27
R5028,P1209,C2367,Been using it for a few weeks now and no complaints at all.,4,2025-04-23
