ticket_id,customer_id,order_id,message_text,channel,timestamp,resolution_status
T7000,C2218,O10420,"I was charged twice for order O10420, please refund the extra charge.",email,2025-05-19 19:40:00,Open
T7001,C2075,,Does this product come in a larger size? I'm considering ordering it.,email,2025-09-01 09:47:00,Resolved
T7002,C2235,O11395,"I want to return my order O11395, the item doesn't fit properly.",phone-transcribed,2025-03-08 08:02:00,Resolved
T7003,C2399,,Where is my order? It was supposed to arrive by now and I haven't gotten any updates.,phone-transcribed,2025-08-17 08:05:00,Resolved
T7004,C2387,O11304,Can I change the delivery address for order O11304? It hasn't shipped yet.,chat,2025-10-18 15:51:00,Open
T7005,C2401,,How do I use my loyalty points on my next purchase?,chat,2026-02-15 19:38:00,Open
T7006,C2076,O10640,"My product from order O10640 stopped working, is it still under warranty?",email,2025-09-02 18:18:00,Resolved
T7007,C2133,O10174,"I want to return my order O10174, the item doesn't fit properly.",email,2025-09-12 16:30:00,Resolved
T7008,C2267,,How do I use my loyalty points on my next purchase?,chat,2025-04-24 16:39:00,Resolved
T7009,C2160,O10960,"I lost my invoice, can I still claim warranty on order O10960?",email,2026-02-03 08:02:00,Resolved
T7010,C2001,O10503,Is the running shoes compatible with international chargers?,chat,2026-06-10 09:23:00,Resolved
T7011,C2140,O10307,My payment failed but the amount was deducted from my account. Order O10307 shows as unpaid.,chat,2025-01-23 11:26:00,Open
T7012,C2137,O10466,My payment failed but the amount was deducted from my account. Order O10466 shows as unpaid.,chat,2025-04-28 13:19:00,Escalated
T7013,C2401,O10085,Does this product come in a larger size? I'm considering ordering it.,email,2025-03-20 14:13:00,Resolved
T7014,C2308,O11257,This is the third time I've contacted support about order O11257 and no one has resolved it. Extremely frustrated.,email,2025-08-01 20:39:00,Escalated
T7015,C2438,,How do I use my loyalty points on my next purchase?,chat,2026-05-12 20:03:00,Escalated
T7016,C2443,O10517,"I lost my invoice, can I still claim warranty on order O10517?",phone-transcribed,2025-07-20 19:00:00,Resolved
T7017,C2375,O11318,I returned an item two weeks ago and still haven't received my refund. Order O11318.,email,2026-01-26 15:56:00,Escalated
T7018,C2264,O10774,How do I initiate a return for O10774? It arrived damaged.,email,2026-03-18 14:17:00,Open
T7019,C2344,O10289,Can you tell me the current status of order O10289? Tracking hasn't updated in 3 days.,email,2026-02-18 19:10:00,Resolved
T7020,C2330,,Is the blender compatible with international chargers?,chat,2025-12-17 08:15:00,Resolved
T7021,C2387,O10267,Can I change the delivery address for order O10267? It hasn't shipped yet.,email,2025-01-31 14:13:00,Open
T7022,C2398,O10168,I returned an item two weeks ago and still haven't received my refund. Order O10168.,phone-transcribed,2025-08-09 12:40:00,Resolved
T7023,C2181,O10765,My order O10765 shows delivered but I never received it.,phone-transcribed,2026-06-05 10:25:00,Escalated
T7024,C2369,O11113,Is the smartwatch compatible with international chargers?,chat,2026-02-01 08:42:00,Open
T7025,C2193,O10842,I returned an item two weeks ago and still haven't received my refund. Order O10842.,phone-transcribed,2025-05-27 17:52:00,Resolved
T7026,C2011,O10462,My order O10462 shows delivered but I never received it.,chat,2026-02-24 19:32:00,Resolved
T7027,C2425,O10679,I returned an item two weeks ago and still haven't received my refund. Order O10679.,chat,2025-11-10 08:43:00,Resolved
T7028,C2019,O11406,I returned an item two weeks ago and still haven't received my refund. Order O11406.,phone-transcribed,2025-03-29 11:13:00,Escalated
T7029,C2106,O10727,My order O10727 shows delivered but I never received it.,email,2025-05-14 17:20:00,Escalated
T7030,C2062,O11491,"I lost my invoice, can I still claim warranty on order O11491?",email,2025-11-28 09:06:00,Resolved
T7031,C2232,O10955,My payment failed but the amount was deducted from my account. Order O10955 shows as unpaid.,email,2025-07-10 11:15:00,Resolved
T7032,C2323,O10443,Is the smartwatch compatible with international chargers?,chat,2025-08-20 11:02:00,Resolved
T7033,C2437,,Where is my order? It was supposed to arrive by now and I haven't gotten any updates.,phone-transcribed,2026-01-19 20:32:00,Resolved
T7034,C2167,O10195,"I lost my invoice, can I still claim warranty on order O10195?",phone-transcribed,2025-10-05 20:35:00,Resolved
T7035,C2268,O10378,How do I use my loyalty points on my next purchase?,email,2025-05-18 17:06:00,Resolved
T7036,C2212,O11125,Can you tell me the current status of order O11125? Tracking hasn't updated in 3 days.,email,2026-04-01 08:15:00,Resolved
T7037,C2170,O11304,"I was charged twice for order O11304, please refund the extra charge.",chat,2025-03-07 21:38:00,Open
T7038,C2371,,How do I use my loyalty points on my next purchase?,phone-transcribed,2026-04-10 11:25:00,Resolved
T7039,C2405,O10274,"My product from order O10274 stopped working, is it still under warranty?",chat,2025-11-20 09:51:00,Open
T7040,C2269,,Is the blender compatible with international chargers?,chat,2026-02-24 11:14:00,Resolved
T7041,C2244,O10054,"My product from order O10054 stopped working, is it still under warranty?",email,2026-02-03 11:10:00,Resolved
T7042,C2080,O11242,How do I initiate a return for O11242? It arrived damaged.,chat,2025-08-21 12:21:00,Resolved
T7043,C2039,O10522,Can you tell me the current status of order O10522? Tracking hasn't updated in 3 days.,email,2025-12-20 12:08:00,Resolved
T7044,C2208,O10087,Can I change the delivery address for order O10087? It hasn't shipped yet.,email,2025-03-08 11:31:00,Escalated
T7045,C2219,O10094,"I lost my invoice, can I still claim warranty on order O10094?",chat,2026-05-01 14:49:00,Resolved
T7046,C2021,O10113,How do I initiate a return for O10113? It arrived damaged.,chat,2026-05-07 17:05:00,Escalated
T7047,C2390,O11402,Where is my order? It was supposed to arrive by now and I haven't gotten any updates.,chat,2025-08-14 09:11:00,Resolved
T7048,C2130,O10106,How do I use my loyalty points on my next purchase?,email,2026-01-29 14:36:00,Open
T7049,C2320,O10993,This is the third time I've contacted support about order O10993 and no one has resolved it. Extremely frustrated.,email,2025-05-03 10:39:00,Open
T7050,C2268,O10540,This is the third time I've contacted support about order O10540 and no one has resolved it. Extremely frustrated.,email,2026-01-05 09:15:00,Resolved
T7051,C2283,,Where is my order? It was supposed to arrive by now and I haven't gotten any updates.,email,2025-10-09 12:15:00,Resolved
T7052,C2341,,How do I use my loyalty points on my next purchase?,chat,2026-03-29 11:41:00,Resolved
T7053,C2370,O10109,Can you tell me the current status of order O10109? Tracking hasn't updated in 3 days.,email,2025-08-21 19:44:00,Open
T7054,C2420,,Where is my order? It was supposed to arrive by now and I haven't gotten any updates.,email,2026-05-10 17:11:00,Escalated
T7055,C2365,O10522,"I was charged twice for order O10522, please refund the extra charge.",chat,2025-02-09 19:36:00,Resolved
T7056,C2320,O11278,"I lost my invoice, can I still claim warranty on order O11278?",phone-transcribed,2026-05-14 12:53:00,Resolved
T7057,C2309,O11229,My order O11229 shows delivered but I never received it.,chat,2026-05-07 12:09:00,Resolved
T7058,C2187,O11164,Does this product come in a larger size? I'm considering ordering it.,chat,2026-06-18 09:18:00,Open
T7059,C2256,O11267,How do I use my loyalty points on my next purchase?,phone-transcribed,2025-10-18 09:11:00,Resolved
T7060,C2413,O10456,This is the third time I've contacted support about order O10456 and no one has resolved it. Extremely frustrated.,email,2025-07-14 14:36:00,Resolved
T7061,C2028,O11274,"I lost my invoice, can I still claim warranty on order O11274?",phone-transcribed,2026-02-26 10:25:00,Resolved
T7062,C2234,O10855,My order O10855 shows delivered but I never received it.,email,2026-04-05 19:13:00,Resolved
T7063,C2370,O11064,How do I initiate a return for O11064? It arrived damaged.,chat,2025-06-12 17:58:00,Resolved
T7064,C2124,,How do I use my loyalty points on my next purchase?,email,2026-03-26 20:01:00,Resolved
T7065,C2145,O10006,This is the third time I've contacted support about order O10006 and no one has resolved it. Extremely frustrated.,phone-transcribed,2026-03-19 09:09:00,Escalated
T7066,C2289,,Does this product come in a larger size? I'm considering ordering it.,email,2025-06-19 14:37:00,Resolved
T7067,C2278,O11353,Is the blender compatible with international chargers?,chat,2025-09-23 14:36:00,Resolved
T7068,C2208,O10443,Is the headphones compatible with international chargers?,email,2026-01-05 09:43:00,Resolved
T7069,C2074,O10389,My order O10389 shows delivered but I never received it.,email,2025-05-25 12:53:00,Open
T7070,C2136,O11108,"I lost my invoice, can I still claim warranty on order O11108?",chat,2025-11-22 21:32:00,Resolved
T7071,C2020,O10060,This is the third time I've contacted support about order O10060 and no one has resolved it. Extremely frustrated.,chat,2026-03-04 08:00:00,Resolved
T7072,C2263,O11229,"I lost my invoice, can I still claim warranty on order O11229?",phone-transcribed,2025-10-18 09:03:00,Open
T7073,C2390,O11031,"I lost my invoice, can I still claim warranty on order O11031?",chat,2026-01-25 11:52:00,Resolved
T7074,C2421,O10052,This is the third time I've contacted support about order O10052 and no one has resolved it. Extremely frustrated.,phone-transcribed,2025-10-03 16:03:00,Resolved
T7075,C2142,O10600,Can you tell me the current status of order O10600? Tracking hasn't updated in 3 days.,phone-transcribed,2025-02-23 08:29:00,Resolved
T7076,C2090,O11289,This is the third time I've contacted support about order O11289 and no one has resolved it. Extremely frustrated.,phone-transcribed,2025-09-29 18:26:00,Resolved
T7077,C2025,O10754,Can I change the delivery address for order O10754? It hasn't shipped yet.,email,2026-05-07 08:57:00,Resolved
T7078,C2226,O10332,Does this product come in a larger size? I'm considering ordering it.,email,2025-06-11 10:46:00,Resolved
T7079,C2441,O11375,"I lost my invoice, can I still claim warranty on order O11375?",email,2026-04-18 08:35:00,Resolved
T7080,C2381,O11007,This is the third time I've contacted support about order O11007 and no one has resolved it. Extremely frustrated.,phone-transcribed,2026-01-18 10:36:00,Resolved
T7081,C2308,O10539,Can you tell me the current status of order O10539? Tracking hasn't updated in 3 days.,chat,2025-06-12 18:34:00,Resolved
T7082,C2099,O10415,How do I initiate a return for O10415? It arrived damaged.,chat,2025-02-25 13:22:00,Escalated
T7083,C2087,O10706,How do I initiate a return for O10706? It arrived damaged.,chat,2025-01-27 09:29:00,Open
T7084,C2434,,How do I use my loyalty points on my next purchase?,chat,2025-08-05 08:24:00,Open
T7085,C2384,O10487,"I lost my invoice, can I still claim warranty on order O10487?",chat,2025-10-15 16:36:00,Escalated
T7086,C2192,O10389,Can you tell me the current status of order O10389? Tracking hasn't updated in 3 days.,chat,2025-08-02 16:18:00,Resolved
T7087,C2303,,Where is my order? It was supposed to arrive by now and I haven't gotten any updates.,phone-transcribed,2025-08-20 08:09:00,Resolved
T7088,C2150,O10088,My payment failed but the amount was deducted from my account. Order O10088 shows as unpaid.,chat,2026-04-25 08:15:00,Resolved
T7089,C2349,O10208,I returned an item two weeks ago and still haven't received my refund. Order O10208.,chat,2026-03-02 10:57:00,Resolved
T7090,C2404,O11366,"I was charged twice for order O11366, please refund the extra charge.",phone-transcribed,2025-01-29 08:53:00,Open
T7091,C2047,,How do I use my loyalty points on my next purchase?,chat,2026-04-10 12:33:00,Escalated
T7092,C2214,O11172,"I want to return my order O11172, the item doesn't fit properly.",email,2025-01-17 20:46:00,Resolved
T7093,C2224,O10872,How do I initiate a return for O10872? It arrived damaged.,phone-transcribed,2025-05-10 11:56:00,Open
T7094,C2263,O11113,"I want to return my order O11113, the item doesn't fit properly.",chat,2026-05-01 11:36:00,Resolved
T7095,C2378,,Where is my order? It was supposed to arrive by now and I haven't gotten any updates.,chat,2025-03-29 15:30:00,Resolved
T7096,C2206,O11016,This is the third time I've contacted support about order O11016 and no one has resolved it. Extremely frustrated.,phone-transcribed,2025-12-06 20:51:00,Open
T7097,C2405,O10004,Where is my order? It was supposed to arrive by now and I haven't gotten any updates.,email,2026-02-26 18:53:00,Open
T7098,C2114,O11380,Is the smartwatch compatible with international chargers?,chat,2025-11-08 18:55:00,Resolved
T7099,C2007,O10686,My order O10686 shows delivered but I never received it.,phone-transcribed,2026-03-06 12:25:00,Resolved
T7100,C2375,O11070,Can you tell me the current status of order O11070? Tracking hasn't updated in 3 days.,chat,2026-05-17 10:20:00,Resolved
T7101,C2233,O11216,My order O11216 shows delivered but I never received it.,email,2025-03-02 20:43:00,Resolved
T7102,C2220,,Does this product come in a larger size? I'm considering ordering it.,email,2025-07-26 10:08:00,Resolved
T7103,C2019,O10677,This is the third time I've contacted support about order O10677 and no one has resolved it. Extremely frustrated.,phone-transcribed,2026-05-22 19:14:00,Resolved
T7104,C2277,O11472,"I lost my invoice, can I still claim warranty on order O11472?",email,2026-06-27 18:08:00,Resolved
T7105,C2310,O11248,"My product from order O11248 stopped working, is it still under warranty?",email,2025-03-07 13:28:00,Resolved
T7106,C2259,O10073,"I was charged twice for order O10073, please refund the extra charge.",chat,2025-03-03 11:57:00,Resolved
